State,Product_success,Daily_high_temp,Cloud_cover
California,Yes,50,
California,Yes,61,
California,No,70,
California,No,72,
California,Yes,85,
California,No,86,
California,No,92,
California,No,93,
California,No,93,
California,No,95,
California,No,98,
California,No,100,
California,No,101,
California,No,106,
California,Yes,84,
California,No,89,
California,Yes,40,
California,Yes,43,
California,Yes,45,
California,Yes,47,
California,Yes,50,
California,Yes,55,
California,Yes,58,
California,Yes,59,
California,Yes,59,
California,Yes,59,
California,Yes,59,
California,Yes,60,
California,Yes,60,
California,Yes,61,
California,Yes,64,
California,Yes,64,
California,Yes,66,
California,Yes,67,
California,Yes,68,
California,Yes,69,
California,Yes,70,
California,Yes,70,
California,Yes,70,
California,Yes,71,
California,Yes,72,
California,Yes,74,
California,Yes,76,
California,Yes,77,
California,Yes,78,
California,Yes,78,
California,Yes,79,
California,Yes,80,
California,Yes,81,
California,Yes,81,
California,Yes,81,
California,Yes,84,
California,Yes,84,
California,Yes,85,
California,Yes,86,
California,Yes,86,
California,Yes,90,
California,No,91,
California,No,97,
Florida,No,67,86
Florida,No,73,74
Florida,No,75,46
Florida,No,85,36
Florida,No,86,22
Florida,No,89,17
Florida,No,92,11
Florida,No,93,13
Florida,No,93,24
Florida,No,95,12
Florida,No,83,33
Florida,No,71,13
Florida,No,72,91
Florida,No,66,86
Florida,No,84,54
Florida,Yes,64,12
Florida,Yes,66,53
Florida,Yes,68,23
Florida,Yes,69,7
Florida,Yes,70,20
Florida,Yes,70,30
Florida,Yes,71,42
Florida,Yes,72,24
Florida,Yes,72,43
Florida,Yes,72,49
Florida,Yes,73,26
Florida,Yes,75,11
Florida,Yes,79,25
Florida,Yes,80,41
Florida,Yes,80,39
Florida,Yes,81,58
Florida,Yes,81,32
Florida,Yes,83,76
Florida,Yes,84,87
Florida,Yes,86,70
Florida,Yes,88,73
Florida,Yes,90,82
Florida,Yes,90,78
Florida,Yes,91,72
Florida,Yes,93,86
Florida,Yes,94,95
Florida,Yes,95,90
Florida,Yes,96,90
Florida,Yes,96,78
Florida,Yes,97,94
