State,Product_success,Daily_high_temp,Cloud_cover
Florida,Yes,86,0.7
Florida,Yes,95,0.9
Florida,No,66,0.86
Florida,Yes,64,0.12
Florida,Yes,71,0.42
Florida,Yes,80,0.41
Florida,Yes,70,0.3
Florida,Yes,83,0.76
Florida,No,89,0.17
Florida,No,84,0.54
Florida,No,85,0.36
Florida,Yes,72,0.49
Florida,Yes,73,0.26
Florida,Yes,79,0.25
Florida,Yes,69,0.07
Florida,No,93,0.13
Florida,Yes,90,0.78
Florida,No,93,0.24
Florida,Yes,68,0.23
Florida,Yes,96,0.9
Florida,Yes,96,0.78
Florida,Yes,88,0.73
Florida,Yes,75,0.11
Florida,No,72,0.91
Florida,Yes,66,0.53
Florida,No,92,0.11
Florida,Yes,93,0.86
Florida,No,73,0.74
Florida,No,75,0.46
Florida,Yes,70,0.2
Florida,No,86,0.22
Florida,Yes,97,0.94
Florida,Yes,81,0.58
Florida,Yes,84,0.87
Florida,No,67,0.86
Florida,Yes,94,0.95
Florida,No,71,0.13
Florida,Yes,90,0.82
Florida,Yes,72,0.24
Florida,No,83,0.33
Florida,Yes,91,0.72
Florida,Yes,81,0.32
Florida,Yes,72,0.43
Florida,No,95,0.12
Florida,Yes,80,0.39
